"Z_LP_36
References : []
Dependency : []
Num. Points : [1]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","Z_LP_37
References : []
Dependency : []
Num. Points : [1]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","Z_LP_38
References : []
Dependency : []
Num. Points : [1]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","Z_LP_39
References : []
Dependency : []
Num. Points : [1]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","Z_LP_40
References : []
Dependency : []
Num. Points : [1]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","Z_LP_41
References : []
Dependency : []
Num. Points : [1]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","Z_LP_42
References : []
Dependency : []
Num. Points : [1]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag"
19.500 + j42.947,18.280 + j41.580,18.300 + j40.900,16.700 + j38.200,13.450 + j38.430,14.560 + j35.050,14.560 + j34.450
